Year,Network,Results,Avg,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7
2024,ABC,"Boston Celtics 4,
Dallas Mavericks 1","5.8
(11.31M Viewers)","5.7
(10.99M Viewers)[10]","6.2
(12.31M Viewers)[11]","6.0
(11.43M Viewers)[12]","4.7
(9.62M Viewers)[13]","6.3
(12.22M Viewers)[14]",No Game,
2023,ABC,"Denver Nuggets 4,
Miami Heat 1","6.1
(11.64M Viewers)[15]","6.0
(11.58M Viewers)[16]","6.0
(11.91M Viewers)[17]","6.0
(11.24M Viewers)[18]","5.4
(10.41M Viewers)[19]","7.0
(13.08M Viewers)[20]",No Game,
2022,ABC,"Golden State Warriors 4,
Boston Celtics 2","6.6
(12.40M Viewers)[21]","6.4
(11.90M Viewers)[22]","6.2
(11.91M Viewers)[23]","6.2
(11.52M Viewers)[24]","6.2
(12.06M Viewers)[25]","7.0
(13.03M Viewers)[26]","7.5
(13.99M Viewers)[21]",No Game
2021,ABC,"Milwaukee Bucks 4,
Phoenix Suns 2","5.2
(9.91M Viewers)[27]","4.5
(8.56M Viewers)","5.1
(9.38M Viewers)","4.7
(9.02M Viewers)","5.3
(10.25M Viewers)","4.8
(9.55M Viewers)","6.6
(12.52M Viewers)",No Game
2020,ABC,"Los Angeles Lakers 4,
Miami Heat 2","4.0
(7.45M Viewers)","4.1
(7.41M Viewers)[28]","3.6
(6.61M Viewers)[29]","3.1
(5.94M Viewers)[29]","4.4
(7.54M Viewers)[30]","4.8
(8.89M Viewers)[31]","4.2
(8.29M Viewers)[32]",No Game
2019[a],ABC,"Toronto Raptors 4,
Golden State Warriors 2","8.8
(15.14M Viewers)","7.9
(13.51M Viewers)[33]","8.0
(14.05M Viewers)[34]","7.8
(13.44M Viewers)[35]","7.6
(13.16M Viewers)[36]","10.6
(18.34M Viewers)[37]","10.7
(18.34M Viewers)[38]",No Game
2018,ABC,"Golden State Warriors 4,
Cleveland Cavaliers 0",10.0(17.56M Viewers),"10.0
(17.67M Viewers)[39]","10.3
(18.47M Viewers)[39]","10.4
(17.85M Viewers)[39]","9.3
(16.24M Viewers)[39]",No Game,,
2017,ABC,"Golden State Warriors 4,
Cleveland Cavaliers 1","11.3/22
(20.38M
Viewers)","10.5[40]/20
(18.70M
Viewers)[41]","10.7[40]/20
(19.69M
Viewers)[42]","11.3[43]/21
(20.05M
Viewers)[44]","10.7[45]/22
(19.01M
Viewers)[46]","13.5[47]/25
(24.47M
Viewers)[48]",No Game,
2016,ABC,"Cleveland Cavaliers 4,
Golden State Warriors 3","11.4/21
(20.28M
Viewers)","11.1[49]/20
(19.20M
Viewers)[50]","9.8[51]/17
(17.49M
Viewers)[52]","9.7[53]/18
(16.47M
Viewers)[54]","9.8[55]/19
(16.57M
Viewers)[56]","11.8[57]/21
(20.53M
Viewers)[58]","11.8[59]/22
(20.70M
Viewers)[60]","15.8[3]/29
(31.02M
viewers)[61]"
2015,ABC,"Golden State Warriors 4,
Cleveland Cavaliers 2","11.6/21
(19.94M
Viewers)","10.6/20
(17.77M
Viewers)","10.8/19
(19.17M
Viewers)","11.1/20
(18.77M
Viewers)","11.7/21
(19.84M
Viewers)","11.8/21
(20.86M
Viewers)","13.4/24
(23.25M
Viewers)",No Game
2014,ABC,"San Antonio Spurs 4,
Miami Heat 1","9.3/16
(15.54M
Viewers)","9.0/15
(14.85M
Viewers)","9.0/15
(15.13M
Viewers)","9.0/15
(14.78M
Viewers)","9.3/15
(14.96M
Viewers)","10.3/18
(18.00M
Viewers)",No Game,
2013,ABC,"Miami Heat 4,
San Antonio Spurs 3","10.4/17
(17.47M
Viewers)","8.8/14
(14.24M
Viewers)","8.5/15
(14.57M
Viewers)","8.5/14
(14.05M
Viewers)","10.0/16
(16.23M
Viewers)","9.5/16
(16.27M
Viewers)","12.3/21
(20.64M
Viewers)","15.3/26
(26.32M
Viewers)"
2012,ABC,"Miami Heat 4,
Oklahoma City Thunder 1","10.1/17
(16.88M
Viewers)","9.9/16
(16.20M
Viewers)","10.4/17
(16.67M
Viewers)","8.8/16
(15.55M
Viewers)","10.5/18
(17.50M
Viewers)","10.9/18
(18.46M
Viewers)",No Game,
