Year,Super Bowl,Viewers (millions)
1986,XX,92.57
1987,XXI,87.2
1988,XXII,80.14
1989,XXIII,81.6
1990,XXIV,73.85
1991,XXV,79.51
1992,XXVI,79.6
1993,XXVII,90.99
1994,XXVIII,90.0
1995,XXIX,83.4
1996,XXX,94.08
1997,XXXI,87.87
1998,XXXII,90.0
1999,XXXIII,83.7
2000,XXXIV,88.5
2001,XXXV,84.3
2002,XXXVI,86.8
2003,XXXVII,88.6
2004,XXXVIII,89.8
2005,XXXIX,86.1
2006,XL,90.75
2007,XLI,93.18
2008,XLII,97.45
2009,XLIII,98.73
2010,XLIV,106.48
2011,XLV,111.0
2012,XLVI,111.35
2013,XLVII,108.69
2014,XLVIII,112.19
2015,XLIX,114.44
2016,50,111.86
2017,LI,111.32
2018,LII,103.39
2019,LIII,98.48
2020,LIV,99.91
2021,LV,91.63
2022,LVI,99.18
2023,LVII,113.06
2024,LVIII,123.7
